hotel_name,fixed_price,recomendation,jr_station
Hotel Route Inn Chiba Hamano - Tokyowangan doro,3189,8.6,Chiba
APA Hotel Kobe-Sannomiya,5359,7.3,Kobe
Hotel Livemax Chiba-ekimae,10246,7.5,Chiba
Keisei Hotel Miramare,6453,8.4,Chiba
The Square Hotel Yokohama Minatomirai,9779,8.6,Yokohama
Kisuien - Vacation STAY 55464v,9784,9.8,Wakayama
AN-GRANDEホテルNara,9479,8.9,Nara
APA Hotel Shinjuku-Gyoemmae,7613,8.1,Shinjuku
Super Hotel Yonago Ekimae,1832,8.1,Yonago
APA Hotel Asakusa Kuramae Ekimae,2197,8.8,Tokyo
Kangaeru Minshuku - Fujieda City,1836,8.9,Shizuoka
Toyoko Inn Chiba Ekimae,2053,7.2,Chiba
Capsule Plus Yokohama Sauna & Capsule,5094,8.2,Yokohama
Hotel Crown Palais Kobe,2962,8.2,Kobe
Hotel kakuban,1152,7.2,Yonago
Joytel Hotel Shinsekai Sakaisujidori,2120,8.6,Osaka
Smile Hotel Nara,3132,8.2,Nara
Chisun Hotel Yokohama Isezakicho,6359,7.9,Yokohama
APA Hotel & Resort Ryogoku Eki Tower,2743,8.5,Tokyo
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,7824,8.4,Tokyo
Kakegawa Grand Hotel,2096,7.8,Shizuoka
Fuji Green Hotel - Vacation STAY 18923v,2701,7.8,Fuji
Green Rich Hotel Matsue eki Across Artificial hot spring Futamata Yunohana,2144,8.5,Matsue
APA Hotel Kintetsu Nara Ekimae,5807,8.3,Nara
Daiwa Roynet Hotel Kobe Sannomiya,1772,8.2,Kobe
Kuretake Inn Yaizu Ekimae,1631,7.8,Shizuoka
Tottori Guest House Miraie BASE - Vacation STAY 41214v,1775,9.6,Tottori
APA Hotel Kyoto Ekihigashi,5530,8.8,Kyoto
The QUBE Hotel Chiba - Vacation STAY 02227v,3081,9,Chiba
Sea Queen Kainan,1926,7.5,Wakayama
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,7824,8.4,Shinjuku
APA Hotel Nihombashi Bakuroyokoyama Ekimae,2587,8.7,Tokyo
Hotel Monarque Tottori,1772,8,Tottori
Sotetsu Fresa Inn Yokohama Higashiguchi,5372,8.3,Yokohama
Toyoko Inn Shizuoka-eki Minami-guchi,2129.5,7.8,Shizuoka
