hotel_name,fixed_price,recomendation,jr_station
Matsue Universal Hotel,2103,6.75,Matsue
Shinjuku Washington Hotel - Main Building,7462,7.7,Tokyo
Sotetsu Fresa Inn Tokyo-Kinshicho,2403,8.8,Tokyo
APA Hotel Namba Shinsaibashi Nishi,2020,8.9,Osaka
Hotel Port Plaza Chiba,1772,8.3,Chiba
The Qube Hotel Chiba,2135,8.3,Chiba
The Global hotel Tokyo,1566,7.9,Tokyo
BRENZA HOTEL,1648,8.7,Kobe
Prince Smart Inn Kyoto Shijo Omiya,8649,8.8,Kyoto
Hotel Fine Garden Okayama 1 - Free Parking,11998,7.5,Okayama
Onsen Guesthouse Aobatonosu,2533,8.4,Matsue
Yamaguchi Grand Hotel,2485,7.5,Yamaguchi
Muji House Osaka Sannan Hotel,6384,9,Wakayama
Hotel Casabella Inn Kobe,2302,7.5,Kobe
Hotel Kuretakeso Hiroshima Otemachi,1942,8.5,Hiroshima
Miyajima Coral Hotel,2139,8.4,Hiroshima
Good Bless Garden Sauna&Stay,1228,8.5,Yonago
IZU KUMAMOTO LA SERENA,2714,8.7,Shizuoka
APA Hotel Yokohama Kannai,5435,7.3,Yokohama
Okayama City Hotel Kuwatacho,1830,7.9,Okayama
Cent Core Yamaguchi,2983,8.5,Yamaguchi
Hotel 1-2-3 Shimada,1736,7.9,Shizuoka
APA Hotel Kobe Sannomiya Ekimae,1772,8.2,Kobe
Kaike Fuga,7441,8.2,Yonago
Yakuno House,4872,8.1,Fukuchiyama
Shizutetsu Hotel Prezio Shizuoka-Ekikita,1513,8.2,Shizuoka
Comfort Hotel Shin Yamaguchi,3172,8.1,Yamaguchi
Comfort Hotel Wakayama,3596,8.5,Wakayama
Ibis budget Osaka Umeda,2040,8.3,Osaka
Super Hotel Yamaguchi Yuda Onsen,1648,8.4,Yamaguchi
The Yokohama Bay Hotel Tokyu,13789,8.6,Yokohama
Dormy Inn Kobe Motomachi Natural Hot Springs,3720,8.7,Kobe
Kyoto Crystal Hotel Ⅲ,1831,8.4,Kyoto
Sotetsu Fresa Inn Kawasakieki Higashiguchi,1659,8.2,Yokohama
HOTEL AMUZE SHINYAMAGUCHI,1364,7.7,Yamaguchi
Tamatsukuri Grand Hotel Choseikaku,6711,8.2,Matsue
KYOTO CITY GARDENS HOTEL,3768,7.4,Kyoto
Hakusen,6999,8.8,Yonago
APA Hotel Ochanomizu-Ekikita,5359,8.1,Tokyo
Hotel Imalle Haneda,2144,7.3,Yokohama
Kuretake-Inn Fujisan,1322,7.8,Fuji
Nara Washington Hotel Plaza,3486,7.9,Nara
Business Hotel Katsuya - Vacation STAY 62201v,2386,5,Wakayama
Bespoke Hotel Shinsaibashi,2280,8.6,Osaka
R Inn Fukuchiyama,1356,7.2,Fukuchiyama
Homey Inn Enshu,1450,8.3,Shizuoka
Kaike Grand Hotel Tensui,6339,8,Yonago
Candeo Hotels Ueno-koen,7748,7.7,Tokyo
Tabist Hotel Diana Yachiyodai,1665,6.9,Chiba
Hotel AreaOne Sakaiminato Marina - Vacation STAY 09680v,5846,9.4,Yonago
karaksa hotel grande Shin-Osaka Tower,1658,8.9,Osaka
Mitsui Garden Hotel Hiroshima,5641,8.3,Hiroshima
Hotel Associa Shizuoka,2999,8.7,Shizuoka
Tosei Hotel Cocone Ueno,6309,8.6,Tokyo
Green Rich Hotel Tottoriekimae Artificial hot spring Futamata Yunohana,1400,8.6,Tottori
Hotel Intergate Hiroshima,5805,8.8,Hiroshima
Far East Village Hotel Tokyo Asakusa,6092,8.7,Tokyo
Hotel Select Inn Yaizu Ekimae,1131.5,7.2,Shizuoka
Kyunoju,3053,8.7,Okayama
Sotetsu Fresa Inn Yokohama Totsuka,3165,8,Yokohama
Hotel Nikko Osaka,4800,8.8,Osaka
Yukai Resort Kaike Saichoraku,3670,6.7,Yonago
IZU KUMAMOTO LIDO,3110,8.7,Shizuoka
Hotel Livemax Chiba Minato-ekimae,8321,7.5,Chiba
APA Hotel Ueno Ekiminami,2409,8.7,Tokyo
Hotel livemax Chiba Chuo Ekimae,7888,7.4,Chiba
Sotetsu Fresa Inn Yokohama Sakuragicho,5792,8.4,Yokohama
Dormy inn Ikebukuro Hot Spring,3986,8.7,Tokyo
Kobe Plaza Hotel West,7469,8.6,Kobe
Rakuten STAY HOUSE x WILL STYLE Matsue 102,6317,8.5,Matsue
Hotel Route Inn Yokohama Bashamichi,4385,7.8,Yokohama
Hotel Livemax Yokohama Sutajiamumae,6968,7.5,Yokohama
Hotel Nikko Nara,7554,8.5,Nara
ESLEAD HOTEL Namba South Ⅲ,3466,9,Osaka
Cross Hotel Kyoto,11115,9.2,Kyoto
Kuretake Inn Premium Shizuokaekimae,3876,8.1,Shizuoka
Hotel Shuranza Chiba,1503,8.2,Chiba
Matsue Excel Hotel Tokyu,4503,8.2,Matsue
Tottori Green Hotel Morris,1827,8.8,Tottori
Okayama Universal Hotel Annex,2784,6,Okayama
Hotel Granvia Hiroshima,5547,8.9,Hiroshima
Smile Hotel Yonago,1298,7.1,Yonago
IZU KUMAMOTO VITA,3076,8.7,Shizuoka
Nagi unoport,7932,10,Okayama
The Royal Park Canvas Kobe Sannomiya,6825,8.8,Kobe
Grandvrio Hotel Miyajima Wakura,4283,8.9,Hiroshima
JR-EAST HOTEL METS YOKOHAMA,6002,8.7,Yokohama
Tosei Hotel Cocone Asakusa Kuramae,2332,8.8,Tokyo
Hotel Ichibata,4243,8.2,Matsue
Candeo Hotels Nankai Wakayama,8169,8.8,Wakayama
Hotel Amandi,1563,8.5,Shizuoka
IZU KUMAMOTO ANEX,3782,8.6,Shizuoka
Vessel Hotel Campana Shizuoka Kitakami,3270,8.2,Shizuoka
JR-EAST HOTEL METS YOKOHAMA SAKURAGICHO,6354,8.8,Yokohama
Hiroshima Washington Hotel,4008,8.6,Hiroshima
Toyoko Inn Shizuoka Shimizu Ekimae,2046,8,Shizuoka
Hotel Best Price Kochi,2082,8.2,Shizuoka
Hotel LiveMax Okayama-West,8383,7.7,Okayama
Villa Amagoya,3353,8.7,Shizuoka
APA Hotel Yamaguchi-Hofu,6903,7.6,Yamaguchi
Daiwa Roynet Hotel Kawasaki,5202,8.2,Yokohama
Vessel Inn Yachiyo Katsutadaiekimae,1616,8,Chiba
Kakegawa Station Hotel (Kakegawa Station Hotel),2138,8.2,Shizuoka
UNIZO HOTEL Yokohamaeki-West,5674,8.5,Yokohama
Futagojimasou,2923,7.7,Wakayama
Tabinoyado MatsueGuesthouse,1446,9,Matsue
IZU KUMAMOTO BLUE MARLIN,3452,8.7,Shizuoka
Hotel Wing International Kobe Shinnagata Ekimae,1235,8.3,Kobe
Breezbay Hotel Resort & Spa,5363,7.3,Yokohama
APA Hotel Asakusa Kuramaekita,5359,8.7,Tokyo
Hotel Harvest In Yonago,1525,8.3,Yonago
Kuretake Inn Premium Shizuoka Annex,2082,8.2,Shizuoka
Royal Inn Shin-Yamaguchi Ekimae,1559,7.3,Yamaguchi
Green Rich Hotel Matsue Ekimae,1457,7.5,Matsue
Green Rich Hotel Kobesannomiya Artificial hot spring Futamata Yunohana,2037,8.1,Kobe
Kobe Kitano Hotel,7884,8.5,Kobe
Hotel Route-Inn Kakegawa Ekihigashi,4477,8.5,Shizuoka
Matsue Urban Hotel,2069,7.4,Matsue
Hotel Cordia Osaka,3340,8.9,Osaka
The Peak Shinsaibashi,2280,8.5,Osaka
Shokinkan,2491,8.6,Yonago
Hotel Route Inn Matsue,2999,7.7,Matsue
Hotel S-Plus Hiroshima Peace Park,2619,6.9,Hiroshima
Toyoko Inn Tottori-eki Minami-guchi,1815,7.8,Tottori
Matsue New Urban Hotel,1506,7.7,Matsue
Bon Condo Namba Nipponbashi),5466,8.6,Osaka
APA Hotel Asakusabashi Ekimae,5359,8.7,Tokyo
Hotel Daiei Masuda,2923,7.6,Masuda
APA Hotel Wakayama,1984,7.3,Wakayama
Toyoko Inn Chiba Minato Ekimae,1944,7.8,Chiba
Hotel Route-Inn Fujieda Ekikita,4007,8.1,Shizuoka
Hiroshima Kokusai Hotel,2564,7.4,Hiroshima
Pension Le Passage,2399,9,Tottori
Hotel Resh Tottori Ekimae,1654,7.6,Tottori
2no HOME & PARK,2341,8.9,Kobe
Hotel La Suite Kobe Harborland,5999,9.3,Kobe
2023Pearl Hotel Shinjuku Akebonobashi,5600,8.5,Shinjuku
Ark Hotel Okayama,1786,7.7,Okayama
Hotel Livemax Yokohama Motomachi Ekimae,6281,6.9,Yokohama
Hotel Route Inn Kinokawa,1999,8.3,Wakayama
Ikoitei Kikuman,4474,8.4,Yonago
Toyoko Inn Okayama-eki Nishiguchi-migi,1719,7.5,Okayama
Fuji Green Hotel,1504,7,Fuji
Kobe Sannomiya Tokyu REI Hotel,2104,8.3,Kobe
Hotel Route-Inn Kakegawa Inter,4183,8.4,Shizuoka
Hotel 1-2-3 Kakegawa,1940,8.1,Shizuoka
HOTEL 1-2-3 Fujieda Ekimae,2214,7.8,Shizuoka
hotel atarayo osaka,1290,8.9,Osaka
Daiwa Roynet Hotel Kyoto ekimae PREMIER,7730,9,Kyoto
Oriental Hotel,4999,9.1,Kobe
IZU KUMAMOTO SEASIDE HOTEL,4385,8.5,Shizuoka
Shizuoka Town Hotel,1382,7.6,Shizuoka
Hotel Grand Fuji,2746,9,Fuji
Fujiwara Ryokan,2746,8.8,Shizuoka
Hotel Konigs-Krone Kobe,8033,8.8,Kobe
Guest House esp,1059,8,Tottori
APA HOTEL YODOYABASHIEKIMAE,2020,7.9,Osaka
Kasuitei,3883,8.5,Yonago
Bakery Hotel Chateau Dor,3297,9.1,Nara
Hotel Route Inn Yaizu Inter,3785,8.1,Shizuoka
Itoen Hotel Izukogen,3289,7.9,Shizuoka
Shinjuku Granbell Hotel,2806,8,Shinjuku
Hotel Alpha-One Yamaguchi Inter,2728,7,Yamaguchi
Toyoko Inn Matsue Ekimae,1999,7.6,Matsue
The Deer Park Inn,1518,9.1,Nara
Hotel Wing International Shizuoka,2848.5,8.4,Shizuoka
remm Shin-Osaka,6471,8.6,Osaka
Hotel Livemax Chiba Soga-Ekimae,11075,7.5,Chiba
Matsueshinjiko Onsen Matsue City Hotel Annex,1457,6.8,Matsue
Fujieda Chuo Hotel,1954,7.8,Shizuoka
Hotel Route Inn Fuji Chuo Koen Higashi,2073,8.4,Fuji
Kadensho Arashiyama Onsen Kyoto - Kyoritsu Resort,13021,8.8,Kyoto
Belmont Hotel Tokyo,2345,8,Tokyo
ibis Styles Osaka Namba Hotel,2326,8.2,Osaka
Ibis Styles Kyoto Station,5387,8.5,Kyoto
HARUYA Naramachi,1573,8.3,Nara
Rihga Royal Hotel Hiroshima,8145,8.7,Hiroshima
Hotel Hanshin Annex Osaka,5168,8.8,Osaka
APA Hotel Asakusa Shin Okachimachi Ekimae,2197,8.7,Tokyo
KEIKYU EX INN Akihabara -Tokyo Akihabara,5999,8.9,Tokyo
Kaike Tsuruya Hotel,2339,8.3,Yonago
Hotel Sunroute Sopra Kobe Annesso,3644,8.4,Kobe
Dormy Inn Express Matsue,5214,8.4,Matsue
Capsule&Spa Grand Sauna Shinsaibashi,1080,8.2,Osaka
Eishinan,2526,8.5,Fuji
Hotel Route Inn Shimada Ekimae,2182,7.5,Shizuoka
Mitsui Bekkan,3280,7.8,Yonago
Dormy Inn Ueno Okachimachi Hot Spring,3898,8.6,Tokyo
Sun Palace Hotel,1856.5,8.1,Shizuoka
Far East Village Hotel Yokohama,4277,8.1,Yokohama
APA Hotel Kyoto-Eki-Horikawadori,4517,7.6,Kyoto
Resol no Mori,12137,10,Chiba
Kaichoen,2568,8.5,Yonago
KOKO HOTEL Hiroshima Ekimae,4683,8.6,Hiroshima
IZU KUMAMOTO CAMELOT,3452,8.7,Shizuoka
HOTEL CITY INN WAKAYAMA,1584,7.1,Wakayama
Yokohama Royal Park Hotel,16109,9,Yokohama
APA Hotel Namba-Shinsaibashi,2020,8.1,Osaka
APA Hotel Higashi-Shinjuku Kabukicho,2799,7.7,Shinjuku
Sotetsu Fresa Inn Kobe-Sannomiya,3806,8.4,Kobe
Sotetsu Fresa Inn Kyoto-Shijokarasuma,5169,9,Kyoto
Pals Inn Kakegawa Ekimae,2294,7.4,Shizuoka
Hotel Route Inn Yamaguchi Yuda Onsen,2303,8.4,Yamaguchi
The Global hotel Tokyo,1566,7.9,Shinjuku
Hotel Briller Kyoto Station South,2704,8.4,Kyoto
Hotel Abest grande Okayama,7561,8.8,Okayama
Daiwa Roynet Hotel KOBE-SANNOMIYA PREMIER,6446,8.8,Kobe
Green Rich Hotel Yonagoekimae Artificial hot spring Futamata Yunohana,1577,8.4,Yonago
Kamp Houkan-cho Backpacker's Inn and Lounge,714,8.3,Okayama
Unique joy House,3379,8.6,Okayama
Smile Hotel Okayama,6421,8.3,Okayama
Business Hotel Kawashima,1754,6.9,Wakayama
PG Kuromon,2400,8.4,Osaka
Ryogoku View Hotel,4570,8.4,Tokyo
Pension Le Passage - Vacation STAY 11300v,2413,9.7,Tottori
Sotetsu Fresa Inn Hamamatsucho Daimon,8575,8,Tokyo
2023APA Hotel Higashi Shinjuku Kabukicho Tower,2799,8.4,Shinjuku
Hotel Garden Square Shizuoka,2638.5,8.7,Shizuoka
Kakegawa REX HOTEL,1230,7.3,Shizuoka
APA Hotel and Resort Midosuji Hommachi Eki Tower,5824,8.5,Osaka
Tamai Bekkan,2787,8.1,Matsue
Centurion Hotel Classic Nara,7228,8.4,Nara
Shimizu City Hotel,1505,7.6,Shizuoka
Hotel Livemax Okayama,11759,7.3,Okayama
Tosei Hotel Cocone Ueno okachimachi,6309,8.9,Tokyo
Hotel Nishi In Fujisan,2991,8.5,Shizuoka
Hotel Balian Resort Chiba Chuo,3616,8.6,Chiba
Guest House Tatara - Vacation STAY 09688v,5067,5.5,Yonago
Regariain - Vacation STAY 84627,7091,8.8,Okayama
All Running Onsen Matsue City Hotel Honkan,1457,7.4,Matsue
IZU KUMAMOTO ISLAND,2938,8.7,Shizuoka
Hotel LiveMax Asakusa Ekimae,9538,7.3,Tokyo
2023Premier Hotel -CABIN - Shinjuku,2132,7.9,Shinjuku
Ichihara Inn Social Goi,1949,7.1,Chiba
The QUBE Hotel Chiba - Vacation STAY 02254v,5783,7.8,Chiba
APA Hotel Nihombashi Bakurocho-Ekikita,5359,8.6,Tokyo
Hotel Route inn Shinfujieki Minami,2574,8.5,Fuji
Yonago Universal Hotel,2314,6.8,Yonago
Hotel Listel Shinjuku,4053,7.5,Shinjuku
Guest House MEETS Okayama,2005,8.7,Okayama
Valie Hotel Hiroshima,2053,7.8,Hiroshima
IZU KUMAMOTO Southern Cross Hotel,2687,8.7,Shizuoka
Ichihara Inn Social Anesaki,2118,7.4,Chiba
Kaigarabushi No Sato Ryofuan,5574,7.8,Tottori
Daiwa Roynet Hotel Yokohama-Koen,5606,8.3,Yokohama
APA Hotel Keisei Ueno-Ekimae,11655,8.4,Tokyo
Sarasa Hotel Namba,2020,8.3,Osaka
ONSEN RYOKAN YUEN SHINJUKU,3793,8.6,Shinjuku
Garden Hotel Shizuoka,2000,8.4,Shizuoka
Kansuitei Kozeniya,7761,8.7,Tottori
Hotel Meriken Port Kobe Motomachi,1462,8.3,Kobe
Restay Okayama - Adult Only,2815,8.7,Okayama
Seaside Hotel Maiko Villa Kobe,7742,8.2,Kobe
Rakuten STAY Tokyo Asakusa,2319,7.3,Tokyo
Ryokan Fukumakan,3859,8.1,Matsue
Keio Prelia Hotel Kyoto Karasuma Gojo,8432,8.9,Kyoto
Dai-ichi Hotel Ryogoku,2861,8.2,Tokyo
Kur and Hotel Suruga,2331,8,Shizuoka
NARA Visitor Center and Inn,1784,9.4,Nara
Mitsui Garden Hotel Okayama,2650,8.4,Okayama
Hotel Select Inn Numazu,2049,7.8,Shizuoka
Kawasaki King Skyfront Tokyu REI Hotel,5403,8.7,Yokohama
Hotel Monterey Kyoto,7657,8.5,Kyoto
Hiromas Hostel Yokohama Chinatown,816,8.5,Yokohama
Hofu Grand Hotel,3001,7.7,Yamaguchi
Okura Chiba Hotel,3999,8.3,Chiba
KEIKYU EX INN Yokohama-Station East -Yokohama Water front,2304,7.8,Yokohama
Super Hotel Chiba Ekimae,2526,8.3,Chiba
Suzumaru Hotel,1212,7.7,Wakayama
Hotel Route Inn Yonago,3440,8.4,Yonago
APA Hotel Osaka Temmabashi Ekimae,2080,8.7,Osaka
Hotel Quest Shimizu,3128,8.4,Shizuoka
Yokohama Heiwa Plaza Hotel,4162,7.3,Yokohama
Drop Inn TOTTORI,1011,8.1,Tottori
Hotel Piena Kobe,6370,8.5,Kobe
Hotel Sunroute Chiba,3071,8.7,Chiba
APA Hotel & Resort Yokohama Bay Tower,9751,8.4,Yokohama
Guest House Hamada-en,1346,8.4,Tottori
Comfort Hotel Nara,3809,8.3,Nara
Akihabara Washington Hotel,2476,8.7,Tokyo
DEL style Osaka Shin Umeda by Daiwa Roynet Hotel,2280,8.6,Osaka
Onn Yuda Onsen,4827,8.8,Yamaguchi
Nara Guesthouse Kamunabi,1176,8.8,Nara
APA Hotel Fuji Chuo,1486,7.8,Fuji
Toyoko Inn Kintetsu Nara Ekimae,1935,8.2,Nara
